Creation	Duration	State	Label	
00:54.180.222	47.21 µs	Active	Neural Engine Prediction	
00:54.185.622	208.62 µs	Active	Neural Engine Prediction	
00:54.191.042	986.08 µs	Active	Neural Engine Prediction	
00:54.192.091	246.12 µs	Active	Neural Engine Prediction	
00:54.192.134	233.96 µs	Active	Neural Engine Prediction	
00:54.258.483	129.83 µs	Active	decoder_alpha_emoji_main__Op0_AneInference Prediction	
00:54.269.537	2.19 ms	Active	Neural Engine Prediction	
00:54.275.465	5.74 ms	Active	op_main_image__Op1_AneInference Prediction	
00:54.284.148	4.92 ms	Active	Neural Engine Prediction	
00:54.296.142	6.33 ms	Active	Neural Engine Prediction	
00:54.303.590	527.79 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_bridge_kmeans-8bit-cgs8_main__Op0_AneInference Prediction	
00:54.305.191	1.44 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.307.881	1.34 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.310.381	1.62 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.313.513	1.01 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.315.929	1.27 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.318.797	918.88 µs	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.320.942	1.29 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.323.374	1.30 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.325.732	1.31 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.329.364	1.21 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
00:54.331.931	1.32 ms	Active	ImageCaptioning-mica_v5.0.0_jf7fjab8py-1414_decoder_kmeans-6bit-cgs8_main__Op2_AneInference Prediction	
